EventRecordID,TimeCreated.SystemTime,UtcTime,EventID,Computer,Image,CommandLine,ProcessGuid,ProcessId,User,ParentImage,ParentCommandLine,ParentProcessGuid,TargetFilename,QueryName,QueryResults,DestinationIp,DestinationHostname,DestinationPort,SourceIp,SourcePort,Protocol,Initiated,Hashes,CurrentDirectory,Description,Company,Product,Channel,Configuration,ConfigurationFileHash,Contents,Correlation,CreationUtcTime,DestinationIsIpv6,DestinationPortName,Execution.ProcessID,Execution.ThreadID,FileVersion,Hash,IntegrityLevel,Keywords,Level,LogonGuid,LogonId,Opcode,OriginalFileName,ParentProcessId,Provider.Guid,Provider.Name,QueryStatus,RuleName,SchemaVersion,Security.UserID,SourceHostname,SourceIsIpv6,SourcePortName,State,Task,TerminalSessionId,Version,xmlns
1482,2021-05-07T12:18:52.399390Z,2021-05-07 12:18:52.262,1,MSEDGEWIN10,C:\Users\IEUser\Downloads\Sysmon\Sysmon.exe,Sysmon.exe  -u,747F3D96-302C-6095-9704-000000001D00,1508,MSEDGEWIN10\IEUser,C:\Windows\System32\cmd.exe,"""C:\Windows\system32\cmd.exe"" ",747F3D96-21B0-6095-F102-000000001D00,,,,,,,,,,,"MD5=DE5291AAB5CE0F305B4882CF2324A320,SHA256=902B30F1A5510B7B72BAD794AF3614B487360553E6246F6358B6A64A57046800,IMPHASH=FCA4E789B7E426FECECA7AC808CCE473",C:\Users\IEUser\Downloads\Sysmon\,System activity monitor,Sysinternals - www.sysinternals.com,Sysinternals Sysmon,Microsoft-Windows-Sysmon/Operational,,,,,,,,4804,5500,13.10,,High,0x8000000000000000,4,747F3D96-DE82-6094-4A13-0F0000000000,0xf134a,0,-,5344,5770385F-C22A-43E0-BF4C-06F5698FFBD9,Microsoft-Windows-Sysmon,,-,,S-1-5-18,,,,,1,1,5,http://schemas.microsoft.com/win/2004/08/events/event
1483,2021-05-07T12:18:52.462757Z,2021-05-07 12:18:52.450,11,MSEDGEWIN10,C:\Users\IEUser\Downloads\Sysmon\Sysmon.exe,,747F3D96-302C-6095-9704-000000001D00,1508,,,,,C:\Users\IEUser\AppData\Local\Temp\Sysmon.exe,,,,,,,,,,,,,,,Microsoft-Windows-Sysmon/Operational,,,,,2021-05-07 12:18:52.450,,,4804,5500,,,,0x8000000000000000,4,,,0,,,5770385F-C22A-43E0-BF4C-06F5698FFBD9,Microsoft-Windows-Sysmon,,EXE,,S-1-5-18,,,,,11,,2,http://schemas.microsoft.com/win/2004/08/events/event
1484,2021-05-07T12:18:52.502224Z,2021-05-07 12:18:52.470,1,MSEDGEWIN10,C:\Users\IEUser\AppData\Local\Temp\Sysmon.exe,Sysmon.exe  -u,747F3D96-302C-6095-9804-000000001D00,2084,MSEDGEWIN10\IEUser,C:\Users\IEUser\Downloads\Sysmon\Sysmon.exe,Sysmon.exe  -u,747F3D96-302C-6095-9704-000000001D00,,,,,,,,,,,"MD5=6941190A798BB7C0846B5553270D2014,SHA256=4C81F0FAF42081ED34A2A2C30B3C2DD4110A7394C741BAA19DE6BAF5D46BF004,IMPHASH=3C34E34AF1762DF459C85DEB74B8C286",C:\Users\IEUser\Downloads\Sysmon\,System activity monitor,Sysinternals - www.sysinternals.com,Sysinternals Sysmon,Microsoft-Windows-Sysmon/Operational,,,,,,,,4804,5500,13.10,,High,0x8000000000000000,4,747F3D96-DE82-6094-4A13-0F0000000000,0xf134a,0,-,1508,5770385F-C22A-43E0-BF4C-06F5698FFBD9,Microsoft-Windows-Sysmon,,-,,S-1-5-18,,,,,1,1,5,http://schemas.microsoft.com/win/2004/08/events/event
1485,2021-05-07T12:18:52.550312Z,2021-05-07 12:18:52.544,4,MSEDGEWIN10,,,,,,,,,,,,,,,,,,,,,,,,Microsoft-Windows-Sysmon/Operational,,,,,,,,4804,6544,,,,0x8000000000000000,4,,,0,,,5770385F-C22A-43E0-BF4C-06F5698FFBD9,Microsoft-Windows-Sysmon,,,4.60,S-1-5-18,,,,Stopped,4,,13.10,http://schemas.microsoft.com/win/2004/08/events/event
1486,2021-05-07T12:19:15.628835Z,2021-05-07 12:19:15.625,16,MSEDGEWIN10,,,,,,,,,,,,,,,,,,,,,,,,Microsoft-Windows-Sysmon/Operational,C:\Users\IEUser\Downloads\Sysmon\sysmonconfig-export.xml,SHA256=EA5133261F8C5D31A30DD852A05B90E804103837310C14A69747BA8367D6CDB5,,,,,,4348,6112,,,,0x8000000000000000,4,,,0,,,5770385F-C22A-43E0-BF4C-06F5698FFBD9,Microsoft-Windows-Sysmon,,,,S-1-5-21-3461203602-4096304019-2269080069-1000,,,,,16,,3,http://schemas.microsoft.com/win/2004/08/events/event
1487,2021-05-07T12:19:15.802420Z,2021-05-07 12:19:15.797,4,MSEDGEWIN10,,,,,,,,,,,,,,,,,,,,,,,,Microsoft-Windows-Sysmon/Operational,,,,,,,,4224,7088,,,,0x8000000000000000,4,,,0,,,5770385F-C22A-43E0-BF4C-06F5698FFBD9,Microsoft-Windows-Sysmon,,,4.60,S-1-5-18,,,,Started,4,,13.10,http://schemas.microsoft.com/win/2004/08/events/event
1488,2021-05-07T12:19:15.819445Z,2021-05-07 12:19:15.640,1,MSEDGEWIN10,C:\Windows\Sysmon.exe,C:\Windows\Sysmon.exe,747F3D96-3043-6095-A204-000000001D00,4224,NT AUTHORITY\SYSTEM,-,-,00000000-0000-0000-0000-000000000000,,,,,,,,,,,"MD5=6941190A798BB7C0846B5553270D2014,SHA256=4C81F0FAF42081ED34A2A2C30B3C2DD4110A7394C741BAA19DE6BAF5D46BF004,IMPHASH=3C34E34AF1762DF459C85DEB74B8C286",C:\Windows\system32\,System activity monitor,Sysinternals - www.sysinternals.com,Sysinternals Sysmon,Microsoft-Windows-Sysmon/Operational,,,,,,,,4224,7088,13.10,,System,0x8000000000000000,4,747F3D96-89A0-6095-E703-000000000000,0x3e7,0,-,524,5770385F-C22A-43E0-BF4C-06F5698FFBD9,Microsoft-Windows-Sysmon,,-,,S-1-5-18,,,,,1,0,5,http://schemas.microsoft.com/win/2004/08/events/event
1489,2021-05-07T12:19:15.820087Z,2021-05-07 12:19:15.707,1,MSEDGEWIN10,C:\Windows\System32\wbem\unsecapp.exe,C:\Windows\system32\wbem\unsecapp.exe -Embedding,747F3D96-3043-6095-A304-000000001D00,6984,NT AUTHORITY\SYSTEM,-,-,00000000-0000-0000-0000-000000000000,,,,,,,,,,,"MD5=8B0E699F01BDD3B9AD741D1BD7343248,SHA256=8095D4D7726438F8665E00C1A405AB94DB6358DC14740783795CF8617A64F19E,IMPHASH=9E0E0DA3FF0E183298AEDC6F7ECB7E05",C:\Windows\system32\,Sink to receive asynchronous callbacks for WMI client application,Microsoft Corporation,Microsoft® Windows® Operating System,Microsoft-Windows-Sysmon/Operational,,,,,,,,4224,7088,10.0.17763.1 (WinBuild.160101.0800),,System,0x8000000000000000,4,747F3D96-89A0-6095-E703-000000000000,0x3e7,0,unsecapp.dll,728,5770385F-C22A-43E0-BF4C-06F5698FFBD9,Microsoft-Windows-Sysmon,,-,,S-1-5-18,,,,,1,0,5,http://schemas.microsoft.com/win/2004/08/events/event
1490,2021-05-07T12:19:16.713355Z,2021-05-07 12:19:16.703,5,MSEDGEWIN10,C:\Users\IEUser\AppData\Local\Temp\Sysmon.exe,,747F3D96-3043-6095-9C04-000000001D00,4348,,,,,,,,,,,,,,,,,,,,Microsoft-Windows-Sysmon/Operational,,,,,,,,4224,7088,,,,0x8000000000000000,4,,,0,,,5770385F-C22A-43E0-BF4C-06F5698FFBD9,Microsoft-Windows-Sysmon,,-,,S-1-5-18,,,,,5,,3,http://schemas.microsoft.com/win/2004/08/events/event
1491,2021-05-07T12:19:16.723433Z,2021-05-07 12:19:16.719,5,MSEDGEWIN10,C:\Users\IEUser\Downloads\Sysmon\Sysmon.exe,,747F3D96-3043-6095-9B04-000000001D00,4960,,,,,,,,,,,,,,,,,,,,Microsoft-Windows-Sysmon/Operational,,,,,,,,4224,7088,,,,0x8000000000000000,4,,,0,,,5770385F-C22A-43E0-BF4C-06F5698FFBD9,Microsoft-Windows-Sysmon,,-,,S-1-5-18,,,,,5,,3,http://schemas.microsoft.com/win/2004/08/events/event
